,outcome,sumfg,sumfg3,sumft,sumorb,sumast,sumpts,sumdrb,sumstl,sumblk,Offensive Effort,Defensive Effort
1987,0,46,12,26,13,21,130,31,7,6,0,0
1988,1,82,18,50,8,46,232,67,24,6,1,1
1989,0,58,21,34,9,40,171,55,16,4,0,0
1990,1,74,11,29,15,36,188,64,11,19,1,1
1991,0,41,11,7,9,30,100,36,6,7,0,0
1992,1,81,20,25,3,52,207,51,19,5,0,1
1993,0,59,20,31,17,30,169,51,4,4,0,0
1994,0,77,16,42,12,42,212,72,4,5,1,1
1995,1,45,17,10,11,25,117,33,5,0,0,0
1996,0,61,15,39,22,23,176,57,14,7,0,0
1997,1,64,28,53,23,36,209,55,14,9,1,0
1998,1,78,39,24,11,47,219,61,9,10,0,1
1999,0,73,32,26,12,49,204,84,5,8,1,0
2000,0,63,38,25,10,39,189,65,12,5,1,0
2001,1,62,21,28,21,24,173,72,10,7,0,1
2002,1,66,18,76,33,42,226,86,7,4,1,1
2003,0,43,16,8,8,26,110,39,8,3,0,0
2004,1,86,39,52,10,54,263,65,19,17,1,1
2005,0,78,15,30,11,39,201,45,17,4,0,0
2006,0,59,10,38,19,32,166,67,14,5,0,0
2007,1,61,10,60,7,32,192,90,18,4,0,1
2008,0,60,19,29,11,40,168,52,11,5,0,1
2009,1,69,21,40,3,39,199,67,10,3,1,0
2010,1,82,24,32,25,47,220,61,10,10,1,1
2011,0,46,11,23,10,29,126,25,10,5,0,0
2012,0,43,11,18,9,21,115,32,7,3,0,0
2013,1,63,32,42,14,41,200,54,7,5,1,1
2014,1,63,22,29,10,47,177,55,17,6,1,1
2015,0,36,7,19,9,17,98,39,8,5,0,0
2016,0,77,34,32,16,48,220,54,6,7,1,0
2017,1,90,28,23,11,43,231,62,6,5,0,0
2018,0,81,27,22,18,46,211,61,10,8,1,1
2019,1,61,34,20,19,42,176,39,9,9,0,0
2020,1,72,42,40,8,52,226,60,22,10,1,0
2021,0,70,4,50,24,36,194,72,22,12,0,1
2022,0,68,41,42,11,54,219,59,11,2,1,0
2023,1,77,28,52,9,48,234,73,11,4,0,1
2024,0,62,18,25,7,34,167,56,11,6,1,1
2025,1,43,9,19,12,27,114,41,6,4,0,0
2026,0,47,14,17,5,31,125,25,4,3,0,0
2027,1,50,16,24,13,26,140,26,11,3,1,1
2028,1,74,32,27,12,48,207,59,18,4,1,1
2029,0,38,12,18,13,19,106,37,3,4,0,0
2030,1,46,11,18,12,24,121,46,6,4,0,0
2031,0,67,26,22,23,37,182,45,23,4,1,0
2032,1,42,12,22,11,25,118,34,7,8,1,1
2033,0,38,10,21,10,22,107,30,9,4,0,0
2034,0,60,13,32,18,26,165,61,9,4,0,0
2035,1,69,16,39,28,37,193,61,8,8,1,0
2036,1,45,9,20,8,27,119,39,10,5,0,0
2037,0,66,31,36,18,45,199,65,14,5,1,1
2038,1,80,26,20,15,47,206,71,16,2,1,0
2039,0,72,20,23,16,38,187,71,13,13,0,0
2040,1,96,34,46,22,74,272,86,12,4,1,1
2041,0,80,23,38,14,49,221,82,5,16,0,0
2042,1,85,14,39,22,50,223,70,17,10,1,1
2043,0,75,41,24,20,61,215,57,11,6,0,0
2044,1,80,28,23,12,42,211,61,19,5,0,0
2045,0,82,26,27,28,40,217,56,24,12,1,1
2046,0,78,21,38,6,56,215,60,11,17,1,1
2047,1,44,12,19,12,27,119,40,5,4,0,0
2048,1,82,30,41,12,44,235,66,10,4,1,1
2049,0,72,30,21,13,34,195,46,7,3,0,0
2050,1,81,24,36,17,55,222,70,17,10,1,1
2051,0,65,23,39,22,42,192,69,11,8,0,0
2052,1,84,39,27,12,55,234,63,8,7,0,1
2053,0,86,26,34,15,44,232,48,16,3,1,0
2054,0,42,12,17,16,30,113,32,5,5,1,0
2055,1,40,11,31,15,22,122,36,12,6,0,1
2056,1,86,36,34,16,49,242,70,14,6,1,1
2057,0,38,9,18,13,23,103,31,6,3,0,0
2058,0,91,28,25,26,47,235,61,10,5,1,0
2059,1,64,18,34,10,26,180,57,13,8,0,1
2060,1,85,36,48,15,42,254,80,18,6,1,1
2061,0,41,10,20,5,29,112,36,9,2,0,0
2062,0,37,14,11,10,24,99,32,14,3,0,0
2063,1,59,26,45,6,39,189,55,27,12,1,1
2064,0,81,21,33,19,46,216,47,11,4,0,0
2065,1,87,28,42,26,56,244,33,15,8,1,1
2066,0,59,18,29,12,37,165,69,9,5,0,0
2067,1,85,26,24,25,55,220,86,21,18,1,1
2068,0,57,23,46,18,43,183,72,8,10,0,0
2069,1,84,24,36,32,48,228,78,22,12,1,1
2070,0,66,23,36,16,42,191,58,20,3,1,1
2071,1,42,17,27,12,29,128,41,11,7,0,0
2072,1,82,22,20,7,48,206,50,11,4,0,1
2073,0,65,36,25,14,45,191,47,8,10,1,0
2074,0,83,40,54,10,56,260,63,8,10,1,1
2075,1,67,20,36,16,28,190,58,15,5,0,0
2076,1,71,30,30,12,52,202,58,12,9,1,1
2077,0,35,7,30,14,26,107,30,8,4,0,0
2078,1,70,25,38,12,46,203,70,13,6,1,0
2079,0,56,12,46,22,22,170,64,16,6,0,0
2080,0,85,27,18,16,55,215,40,10,6,1,1
2081,1,49,12,20,11,28,130,33,4,3,0,0
2082,0,42,7,15,5,25,106,29,8,6,0,0
2083,1,43,11,15,14,27,112,31,4,6,1,0
2084,0,62,25,36,8,30,185,60,24,6,1,1
2085,1,46,13,18,9,28,123,50,10,5,0,0
2086,1,59,27,32,15,33,177,68,9,0,1,1
2087,0,39,12,23,11,22,113,33,2,3,0,0
2088,0,77,23,21,16,51,198,59,8,6,0,0
2089,1,85,28,35,8,56,233,60,22,2,1,1
2090,0,64,32,48,12,40,208,86,16,12,0,0
2091,1,72,22,26,16,46,192,76,26,12,1,0
2092,0,77,27,32,8,44,213,58,27,4,0,0
2093,1,74,32,44,26,39,224,65,12,7,1,1
2094,0,74,34,48,16,54,230,64,16,15,1,1
2095,1,72,34,47,22,51,225,71,14,14,0,0
2096,0,59,15,22,22,35,155,67,10,11,1,1
2097,1,34,10,18,18,22,96,38,11,6,0,0
2098,0,101,28,22,18,52,252,63,10,7,1,0
2099,1,75,18,34,23,35,202,42,17,8,0,1
2100,0,86,30,21,22,55,223,56,12,2,1,0
2101,1,54,21,7,9,37,136,35,12,2,0,0
